i1,i2,f_vector,placeholder1,placeholder2
6948170364,7078042969,"108358.8125,31763.53125,3796.625390625",-1,-1
6948170364,7078042932,"108359.6015625,31761.572265625,3796.771484375",-1,-1
6948170364,6948170354,"108359.6015625,31761.572265625,3796.771484375",-1,-1
6948170364,7078042896,"108359.6015625,31761.572265625,3796.771484375",-1,-1
6948170364,6948170156,"108359.6015625,31761.572265625,3796.771484375",-1,-1
6948170364,7078042921,"108359.6015625,31761.572265625,3796.771484375",-1,-1
6948170364,3547808231,"108359.6015625,31761.572265625,3796.771484375",-1,-1
6948170364,6947529126,"108359.6015625,31761.572265625,3796.771484375",-1,-1
7078682655,3547808231,"108369.0,31786.1171875,3799.59453125",-1,-1
7078682655,7078042896,"108369.0,31786.1171875,3799.59453125",-1,-1
7078682655,7078681058,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,7078043074,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,7078681053,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,7078680960,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,6948170430,"108369.0,31786.1171875,3799.59453125",-1,-1
7078682655,6948170364,"108369.0,31786.1171875,3799.59453125",-1,-1
7078682655,7078681018,"108369.0,31786.1171875,3799.59453125",-1,-1
7078682655,7078042935,"108369.0,31786.1171875,3799.59453125",-1,-1
7078682655,6948170354,"108369.0,31786.1171875,3799.59453125",-1,-1
7078682655,7078043100,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,7078681049,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,7078041430,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,7078041494,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,7078682739,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,6687149395,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,7078681081,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,7078042985,"108358.671875,31792.904296875,3804.61640625",-1,-1
7078682655,7078681060,"108358.671875,31792.904296875,3804.61640625",-1,-1
